username,text,timestamp,language_code,translated_text,keywords,sentence_sentiment,extracted_locations,mentioned_users,political_inclination
CryptoBitcoinM3,"If it avoids WW3, I don't care.",2025-03-01 21:41:58+00:00,fr,"If it avoids WW3, I don't care.","[('ww3', np.float64(1.0))]",0.0,[],[],neutral
WW3_Monitor,Syrian forces deployed around Jaramana and inspecting vehicles.,2025-03-01 21:42:07+00:00,en,Syrian forces deployed around Jaramana and inspecting vehicles.,[],0.0,[],[],neutral
DMJ1037459,"So you think Europe going to war with russia directly will not force WW3 with use of nukes on European continent? You do realize US will not help right. Seems like maybe Trump was right, Zelensky wants ww3.",2025-03-01 21:42:09+00:00,en,"So you think Europe going to war with russia directly will not force WW3 with use of nukes on European continent? You do realize US will not help right. Seems like maybe Trump was right, Zelensky wants ww3.","[('ww3', np.float64(0.7325031390983721)), ('war', np.float64(0.405770217619399)), ('europe', np.float64(0.405770217619399)), ('us', np.float64(0.36625156954918603))]",0.1742857142857143,"['russia', 'Europe', 'US']",[],right-leaning
rubytubee,He threatened the US and insulted the guy keeping him alive...this sabotage was on purpose...he won't rest until America's children are fighting in WW3...,2025-03-01 21:42:11+00:00,en,He threatened the US and insulted the guy keeping him alive...this sabotage was on purpose...he won't rest until America's children are fighting in WW3...,"[('ww3', np.float64(0.7071067811865476)), ('us', np.float64(0.7071067811865476))]",0.0,"['America', 'US']",[],neutral
_Napy_,WW3 Title,2025-03-01 21:42:16+00:00,en,WW3 Title,"[('ww3', np.float64(1.0))]",0.0,[],[],neutral
beezley_pam,You can participate in the WW3 that Z provoked with his little games,2025-03-01 21:42:20+00:00,en,You can participate in the WW3 that Z provoked with his little games,"[('ww3', np.float64(1.0))]",-0.1875,[],[],neutral
SamBecket178357,This is why the war must end. Trump wants to end it. Zelenskyy wants to drag us into WW3. I’m not sure why people aren’t getting this.,2025-03-01 21:42:21+00:00,en,This is why the war must end. Trump wants to end it. Zelenskyy wants to drag us into WW3. I’m not sure why people aren’t getting this.,"[('war', np.float64(0.6166963534012143)), ('ww3', np.float64(0.5566352520734043)), ('us', np.float64(0.5566352520734043))]",0.012500000000000011,['WW3'],[],right-leaning
WW3_Monitor,Reports of Israeli reconnaisance drones over Damascus.,2025-03-01 21:42:21+00:00,en,Reports of Israeli reconnaisance drones over Damascus.,[],0.0,['Damascus'],[],neutral
Renball,"He's going to get his whole nation killed, Reality, Ukraine hasn't won in 3yrs of fighting with our money and weapons..

They want WW3..

Cause Europe would have to put boots on the ground and that will be the beginning of WW3..

That's why they haven't in 3yrs of saying they",2025-03-01 21:42:22+00:00,en,"He's going to get his whole nation killed, Reality, Ukraine hasn't won in 3yrs of fighting with our money and weapons..

They want WW3..

Cause Europe would have to put boots on the ground and that will be the beginning of WW3..

That's why they haven't in 3yrs of saying they","[('ww3', np.float64(0.8747527996559631)), ('europe', np.float64(0.484569437226549))]",0.0,"['Reality', 'Europe', 'Ukraine']",[],neutral
Sister_ww3,朝からめちゃくちゃ〝良い〟を聞いてしまい,2025-03-01 21:42:22+00:00,ja,"I've been hearing so much ""good"" in the morning",[],0.7,[],[],neutral
rn30000,Winston Churchill during WW2…. That’s the friend,2025-03-01 21:45:43+00:00,en,Winston Churchill during WW2…. That’s the friend,"[('ww2', np.float64(1.0))]",0.0,[],[],neutral
