username,text,timestamp,url,likes,retweets,replies,extracted_urls,extracted_hashtags
Renball,"He's going to get his whole nation killed, Reality, Ukraine hasn't won in 3yrs of fighting with our money and weapons..

They want WW3..

Cause Europe would have to put boots on the ground and that will be the beginning of WW3..

That's why they haven't in 3yrs of saying they",2025-03-01T21:42:22.000Z,https://twitter.com/Renball/status/1895952778872177073,0,0,0,None,None
Sister_ww3,朝からめちゃくちゃ〝良い〟を聞いてしまい,2025-03-01T21:42:22.000Z,https://twitter.com/Sister_ww3/status/1895952778226515994,0,0,0,None,None
SamBecket178357,This is why the war must end. Trump wants to end it. Zelenskyy wants to drag us into WW3. I’m not sure why people aren’t getting this.,2025-03-01T21:42:21.000Z,https://twitter.com/SamBecket178357/status/1895952774686462218,0,0,0,None,None
WW3_Monitor,Reports of Israeli reconnaisance drones over Damascus.,2025-03-01T21:42:21.000Z,https://twitter.com/WW3_Monitor/status/1895952774422282749,2,1,0,None,None
beezley_pam,You can participate in the WW3 that Z provoked with his little games,2025-03-01T21:42:20.000Z,https://twitter.com/beezley_pam/status/1895952772333478168,0,0,0,None,None
_Napy_,WW3 Title,2025-03-01T21:42:16.000Z,https://twitter.com/_Napy_/status/1895952753538843075,0,0,0,None,None
rubytubee,He threatened the US and insulted the guy keeping him alive...this sabotage was on purpose...he won't rest until America's children are fighting in WW3...,2025-03-01T21:42:11.000Z,https://twitter.com/rubytubee/status/1895952732655403513,0,0,0,None,None
DMJ1037459,"So you think Europe going to war with russia directly will not force WW3 with use of nukes on European continent? You do realize US will not help right. Seems like maybe Trump was right, Zelensky wants ww3.",2025-03-01T21:42:09.000Z,https://twitter.com/DMJ1037459/status/1895952726108094900,0,0,0,None,None
WW3_Monitor,Syrian forces deployed around Jaramana and inspecting vehicles.,2025-03-01T21:42:07.000Z,https://twitter.com/WW3_Monitor/status/1895952717128089707,1,1,0,None,None
CryptoBitcoinM3,"If it avoids WW3, I don't care.",2025-03-01T21:41:58.000Z,https://twitter.com/CryptoBitcoinM3/status/1895952679354188043,1,0,0,None,None
GregoriusLotor,"”My grandfather and the Greatest Generation didn’t fight in World War II to see our country side with murderous thugs like Putin.”

Obviously not a student of history. In WW2, the US and UK allied with the USSR under Joseph Stalin. Putin is an alter boy by comparison.",2025-03-01T21:47:26.000Z,https://twitter.com/GregoriusLotor/status/1895954054700024179,0,0,0,None,None
KeithCambs,"In my opinion the lack of suite question was dumb. There's a photo from WW2 of Churchill not wearing one when meeting leaders.

Incidentally, there's a body language opinion at",2025-03-01T21:47:23.000Z,https://twitter.com/KeithCambs/status/1895954043962568883,0,0,0,None,None
kdsathome,That's an irrelevant point regardless of true or not. The US is already involved thats a fact. Not staying involved is likely leading to ww3. That is what happened in ww2 we stayed out of it for way too long.  Worried about ourselves instead of what's right. The. What happened,2025-03-01T21:47:19.000Z,https://twitter.com/kdsathome/status/1895954024517812622,1,0,0,None,None
g78057729,"You have some links inside the article for other similar hit piece approaches. 
To understand fully you might also need to study  the government of Romania during WW2 after Carol 2nd, the Antonescu  regime and the the dynamic(coop to conflict) with the fascist legionary movement.",2025-03-01T21:47:18.000Z,https://twitter.com/g78057729/status/1895954021535662393,0,0,0,None,None
