username,display_name,bio,location,followers,profile_url
Renball,Renball,"Veteran, recent widower, proud American, MAGA, God Bless.",Florida,1511,https://twitter.com/Renball
Sister_ww3,きんぐ꒰ঌᐢ.ˬ.ᐢ໒꒱,"無断転載AI学習禁止！
Do not reupload my art!
Do not use my art for AI training!
説明書(必読)→http://twpf.jp/Sister_ww3 /絵垢→@MrFuneral_ww3 /コス/絵/20↑/APH//twst/次→せかちゅ",大葬儀城,567,https://twitter.com/Sister_ww3
SamBecket178357,Sam Becket,USA  The United States of America is the greatest country in world history. The hand of God is protecting America,Not provided,1805,https://twitter.com/SamBecket178357
WW3_Monitor,WW3 Monitor,I currently track the ongoing #Ukraine-#Russia war | I also cover the #Israel-#Gaza-#Lebanon-#Yemen-#Iran-#Syria-#Iraq War | I also cover news around the globe,USA,5261,https://twitter.com/WW3_Monitor
beezley_pam,PamBeezley,"IT geek, cinephile, and lover of words",Florida,555,https://twitter.com/beezley_pam
_Napy_,D•G_™,@LFC  Founder/CEO Ganzychops  @Ganzychopsng on Instagram. Scorpio,In the air probably,3104,https://twitter.com/_Napy_
GregoriusLotor,Gregorius,"Army veteran 
1st Raccoon Infantry
“Trash Pandas Forward!”",Undercover in a blue state,212,https://twitter.com/GregoriusLotor
KeithCambs,Keith Moss,That bloke who designed & ran that website. Can often be found taking photos. All views & opinions expressed are my own.,St Neots,129,https://twitter.com/KeithCambs
kdsathome,Kevin Scott,No bio,Not provided,21,https://twitter.com/kdsathome
g78057729,George Adeptus Astartes,"Follower of the Great Game. Frequent shit poster. 40K fan. Romanian. 
I take no sides in conflicts that are not mine.
Follows, retweets are not endorsements.",Holy Terra,173,https://twitter.com/g78057729
joe4deadcat,Joe 2.0,Owner: Dead Cat Media LLC & Dead Cat Crypto Channel on YTSpaces Host FINANCE  SPORTS  HEALTH #1A TG channel https://t.me/DeadCatMedia,"New York, USA",10700,https://twitter.com/joe4deadcat
DiegoPelig,DiegoG,No bio,Not provided,77,https://twitter.com/DiegoPelig
Smartarse21,Smartarse2,Exiled Clevelanddotcom commenter.,Not provided,86,https://twitter.com/Smartarse21
HaraldA69,Harald Andersen,Politisk plassert på utkanten av ytre sentrum,Buvika,69,https://twitter.com/HaraldA69
ipekboy,ColtPeacemaker,livin’ in the,"Knoxville, TN",13,https://twitter.com/ipekboy
3rdTimeCharming,Nick,lol,Not provided,118,https://twitter.com/3rdTimeCharming
kbratt1509,kevin bratt,No bio,Not provided,1,https://twitter.com/kbratt1509
JM40772,Graybeard,"Florida native with a passion for sports and movies. Always on the move with miles under my wheels. Sorry, I don't do DM’s",United States,573,https://twitter.com/JM40772
mikelake449021,mike lake,No bio,Not provided,14,https://twitter.com/mikelake449021
firehorsemia,Ms Hawthorn,me/ia/mia Find me on Mastodon and BlueSky with the same handle,"Otautahi, Aotearoa",798,https://twitter.com/firehorsemia
KhaldMhmd75515,خالد محمد,No bio,Not provided,124,https://twitter.com/KhaldMhmd75515
stoicrebel0,stoic rebel,No bio,Not provided,10,https://twitter.com/stoicrebel0
TomBombadil8796,Tom Bombadil,The owls are not what they seem.,Not provided,81,https://twitter.com/TomBombadil8796
superphil123,Phil Jones...,"I do not advocate breaking the Law or violence. Im Hi-liting the forgotten White/Christian victims of Racism, the largest victims of interracial murders",LEEDS,818,https://twitter.com/superphil123
RealAdamWard,Adam,Father. Singer. Beard grower. Occasional centrist. Son of D-Day Hero + Girl Guide Firestarter. Hate hater. Laughter lover. Regret regretter. Over-thinker. #YNWA,United Kingdom,266,https://twitter.com/RealAdamWard
charr68204,Grandma1,"Humanitarian. Love and respect people for who they are not what they are. interests politics, history, reading, traveling , dogs,cooking and helping people.",Not provided,3005,https://twitter.com/charr68204
9NinetyOneNine,Dalia,"TRANS SEPARATIST / TRANS FEMINIST / TRANS HUMANIST

We need to found our own trans city",Not provided,235,https://twitter.com/9NinetyOneNine
JuggerTheseNuts,The Juggernaut,No bio,Not provided,7,https://twitter.com/JuggerTheseNuts
MrsRosefyre,Mrs Rosefyre  NAVY VETERAN,Opinionated Sports (Go Browns!) Government & Politics NFL  @RandyRainbow #TrumpCrimeFamilyMustGo #FoxNewsIsFake #BlueCrew She/Her http://post.news/MrsRosefyre,My Baby Boy died 08 Mar 2019,2689,https://twitter.com/MrsRosefyre
IndiaSportscafe,SportsCafe,Follow all the news | exclusive interviews | viral videos | twitter reactions | opinion pieces | statistics + more on cricket and Indian sports,"Bengaluru, Karnataka",2492,https://twitter.com/IndiaSportscafe
RangeInn,RangeInn,All about whats happening around you,Pakistan,43,https://twitter.com/RangeInn
Pro_SportsPK,ProSports,"HERE WE GO!
Want to join us for a podcast?

Email: prosports@propakistani.pk

Check us out everywhere: https://linktr.ee/prosportspk",Islamabad,519,https://twitter.com/Pro_SportsPK
logical_25,Suhail Ahmad ✪,"Registered Pharmacist under the Pharmacy Act, 1948 - @President_PCI | Alma Mater @integralunilko & @hygia",Null Island,402,https://twitter.com/logical_25
letstryn,one in a million,I'm movie buff,Not provided,3,https://twitter.com/letstryn
Abhishe11654945,Abhishek Mishra,"अगर-मगर और काश में हूं, मै खुद अपनी तलाश में हूं !!
CODER || WEB DEVELOPMENT  || DSA || CP || ENGINEER",Not provided,86,https://twitter.com/Abhishe11654945
Rajiv1841,Rajiv,If my posts piss you off then let it be coz I will keep speaking truth & facts || Cricket Critic & Ranting fan account,Not provided,11100,https://twitter.com/Rajiv1841
kashmiricanibal,Hafsa H Malik,an ordinary brown physician girl trying to make it through || nothing without god||,Not provided,11700,https://twitter.com/kashmiricanibal
SamiullahHarif8,Samiullah Harifal,"دښــمــنان راپــوري مــه خنــدوه بخــته
لــږ مــې پــورته کــه لوېدلی یم ناځوانه",Not provided,1258,https://twitter.com/SamiullahHarif8
CricketNDTV,CricketNDTV,Catch all the latest news from the world of Cricket!,India,1700000,https://twitter.com/CricketNDTV
HimanshuSh80843,@GlobalGlimpse,"Exploring the world, one story at a time.  News, culture, and insights from around the globe. Stay informed, stay curious. #GlobalGlimpse.",Not provided,3213,https://twitter.com/HimanshuSh80843
internetumpire,Heisenberg,"@ChennaiIPL aficionado. Part time bleeding blue, full time spreading #yellove.

For Commercial and Collaboration - DM @FarziCricketer",Not provided,120500,https://twitter.com/internetumpire
whaiderr25,waqar haider,"Content creator || video editor ||  Power BI Analyst

Sports lover especially Cricket, Football, and Tennis.

No person is perfect in this world.","Lahore, Pakistan",216,https://twitter.com/whaiderr25
awriteway,Nikhil,"Disciplined Reader • Impulsive Writer •   Here to help you improve your ability to spot anomalies in societies and address them •  Books, Coffee & Pink Floyd.",My Work,451,https://twitter.com/awriteway
agarwalav,Aditya V Agarwal,Indian. Businessman. Thinker. Altruistic.,"Tezpur, Assam, India",54,https://twitter.com/agarwalav
truss_83,lahori senjougahara,"Free lahore 
Free punjab",Not provided,38,https://twitter.com/truss_83
